LAST NAME,FIRST NAME,SHOW,"OG or REVIVAL","OPENING DATE","CLOSING DATE","# of PERFORMANCES",POSITION,"OG or REPLACEMENT","START DATE","END DATE","FUN FACTS and NOTES"
Anschutz,Sue,Annie,Revival,03/26/1997,10/19/1997,239,Music Director/Conductor,Replacement,1997,End of run,
Shuttlesworth,Anne,Annie,Revival,03/26/1997,10/19/1997,239,Associate Conductor,,,,
Rosenberg,Jan,Dream,,04/03/1997,07/06/1997,109,Assistant Music Supervisor,,,,
Goldrich,Zina,Titanic,,04/23/1997,03/21/1999,804,Assistant Conductor,Replacement,1998,,
Rosen,Cherie,The Life,,04/26/1997,06/07/1998,466,Associate Conductor,Replacement,1998,End of run,
Rosen,Cherie,Jekyll & Hyde,,04/28/1997,01/07/2001,"1,543",Assistant Conductor,Replacement,circa 2000,,
Rosenberg,Jan,Jekyll & Hyde,,04/28/1997,01/07/2001,"1,543",Assistant Conductor,,,,
Rosenberg,Jan,Jekyll & Hyde,,04/28/1997,01/07/2001,"1,543",Associate Conductor,Replacement,1998,,
Anschutz,Sue,Candide,Revival,04/29/1997,07/27/1997,104,Assistant Conductor,,,,
Torre,Maggie,1776,Revival,08/14/1997,06/14/1998,333,Assistant Conductor,Replacement,1997,,
Bobbitt Cavett,Wendy,The Scarlet Pimpernel,,11/09/1997,01/02/2000,772,Associate Music Director/Associate Conductor,,,,
Jamieson,Angela,The Lion King,,11/13/1997,,,Assistant Conductor,Replacement,circa 2015,circa 2020,
Kortman Westphal,Cynthia,The Lion King,,11/13/1997,,,Assistant Conductor,Replacement,1998,,
Kortman Westphal,Cynthia,The Lion King,,11/13/1997,,,Associate Music Director,Replacement,1999,,
Rosen,Cherie,The Lion King,,11/13/1997,,,Associate Conductor,Replacement,2005,2024,
Rosen,Cherie,The Lion King,,11/13/1997,,,Music Director/Conductor,Replacement,2024,Present,
Torre,Maggie,Cabaret,Revival,03/19/1998,01/04/2004,"2,377",Substitute Conductor,,2000,,
Torre,Maggie,Cabaret,Revival,03/19/1998,01/04/2004,"2,377",Associate Conductor,Replacement,circa 2001-2004,,
Torre,Maggie,Cabaret,Revival,03/19/1998,01/04/2004,"2,377",Conductor,Replacement,circa 2001-2004,,
Grigsby,Kimberly,Twelfth Night,,07/16/1998,08/30/1998,53,Music Director/Conductor,,,,
Will,Ethyl,Fosse,,01/14/1999,08/25/2001,"1,093",Associate Conductor,,,,
Will,Ethyl,Fosse,,01/14/1999,08/25/2001,"1,093",Conductor,Replacement,2000,,
Grigsby,Kimberly,"You're a Good Man, Charlie Brown",Revival,02/04/1999,06/13/1999,149,Music Director/Conductor,,,,
Shankel,Lynne,"You're a Good Man, Charlie Brown",Revival,02/04/1999,06/13/1999,149,Associate Conductor,,,,
Rosen,Cherie,Annie Get Your Gun,Revival,03/04/1999,09/01/2001,"1,045",Assistant Conductor,Replacement,2001,End of run,
Kortman Westphal,Cynthia,The Gershwins' Fascinating Rhythm,,04/25/1999,05/09/1999,17,Music Supervisor,,,,
Kortman Westphal,Cynthia,The Gershwins' Fascinating Rhythm,,04/25/1999,05/09/1999,17,Music Director/Conductor,,,,
duChateau,Annbritt,"Kiss Me, Kate",Revival,11/18/1999,12/30/2001,881,Assistant Conductor,,,,
duChateau,Annbritt,"Kiss Me, Kate",Revival,11/18/1999,12/30/2001,881,Associate Conductor,Replacement,Jan.2001,End of run,
Abramson,Deborah,James Joyce's The Dead,,1/11/2000,04/16/2000,120,Associate Music Director/Associate Conductor,,,,
Twine,Linda,The Wild Party (LaChiusa),,03/10/2000,06/11/2000,68,Associate Conductor,,,,
Puricelli,Denise,Aida,,03/23/2000,09/05/2004,"1,852",Alternate Conductor,Replacement,2001,,
Segovia,Yolanda,Aida,,03/23/2000,09/05/2004,"1,852",Conductor,Replacement,2001,,
Blodgette,Kristen,Jesus Christ Superstar,Revival,04/16/2000,09/03/2000,161,Associate Music Supervisor,,,,
Grigsby,Kimberly,The Full Monty,,10/26/2000,09/01/2002,770,Music Director/Conductor,,,,
Anschutz,Sue,Mamma Mia!,,10/18/2001,09/12/2015,"5,758",Alternate Conductor,Replacement,2003,2013,
Bobbitt Cavett,Wendy,Mamma Mia!,,10/18/2001,09/12/2015,"5,758",Music Director/Conductor,Replacement,2006,2015,
Puricelli,Denise,Mamma Mia!,,10/18/2001,09/12/2015,"5,758",Alternate Conductor,Replacement,2013,end of run,
duChateau,Annbritt,Oklahoma,Revival,03/21/2002,02/23/2003,388,Assistant Conductor,Replacement,Jan.2003,End of run,
duChateau,Annbritt,Into the Woods,,04/13/2002,12/29/2002,279,Assistant Conductor,,,,
Moore,Jodie,Hairspray,,08/15/2002,01/04/2009,"2,642",Alternate Conductor,Replacement,2006,,
Will,Ethyl,The Boys From Syracuse,Revival,08/18/2002,10/20/2002,73,Associate Conductor,,,,
Rosen,Cherie,Man of La Mancha,Revival,12/05/2002,08/31/2003,304,Associate Conductor,,,,
Twine,Linda,A Year With Frog and Toad,,04/02/2003,06/15/2003,73,Music Director/Conductor,,,,
Will,Ethyl,Gypsy,Revival,05/01/2003,05/30/2004,451,Associate Conductor,,,,
Anschutz,Sue,The Look of Love,,05/04/2003,06/15/2003,49,Associate Conductor,,,,
Puricelli,Denise,Little Shop of Horrors,,10/02/2003,08/22/2004,372,Assistant Conductor,Replacement,2004,,
Stitt,Georgia,Little Shop of Horrors,,10/02/2003,08/22/2004,372,Assistant Conductor,,,2004,
Anschutz,Sue,Wonderful Town,Revival,11/23/2003,01/30/2005,497,Associate Conductor,Replacement,2004,2005,
Stifelman,Leslie,Wonderful Town,Revival,11/23/2003,01/30/2005,497,Associate Conductor,,,,
Gerschefski,Ann,Bombay Dreams,,04/29/2004,01/01/2005,284,Alternate Conductor,,,,
Grigsby,Kimberly,"Caroline, or Change",,05/02/2004,08/29/2004,136,Music Supervisor,,,,
Grigsby,Kimberly,"Caroline, or Change",,05/02/2004,08/29/2004,136,Conductor,Replacement,2004,End of run,
Twine,Linda,"Caroline, or Change",,05/02/2004,08/29/2004,136,Music Director/Conductor,,,,
duChateau,Annbritt,The Frogs,,07/22/2004,10/10/2004,92,Associate Music Director/Associate Conductor,,,,
Will,Ethyl,"Dracula, the Musical",,08/19/2004,01/02/2005,158,Associate Conductor,,,,
Torre,Maggie,La Cage Aux Folles,Revival,12/09/2004,06/26/2005,229,Assistant Conductor,,,,
Draus,Susan,Good Vibrations,,02/02/2005,04/24/2005,94,Music Director/Conductor,,,,
Puricelli,Denise,Good Vibrations,,02/02/2005,04/24/2005,94,Assistant Conductor,,,,
Rosenberg,Jan,Dirty Rotten Scoundrels,,03/03/2005,09/03/2006,627,Associate Conductor,,,,
Will,Ethyl,Spamalot,,03/17/2005,01/11/2009,"1,575",Associate Conductor,,,,
Grigsby,Kimberly,The Light in the Piazza,,04/18/2005,07/02/2006,504,Conductor,Replacement,2005,End of run,
Blodgette,Kristen,Chitty Chitty Bang Bang,,04/28/2005,12/31/2005,285,Music Director/Conductor,,,,
Dean,Carmel,The 25th Annual Putnam County Spelling Bee,,05/02/2005,01/20/2008,"1,136",Associate Conductor,,,,
Campbell,Mary-Mitchell,Sweeney Todd,Revival,10/03/2005,09/03/2006,329,Music Supervisor,Replacement,2006,End of run,
Travis,Sarah,Sweeney Todd,Revival,10/03/2005,09/03/2006,329,Music Supervisor,,,,Also won the Tony for Best Orchestrations for this show
Barsha,Debra,Jersey Boys,,11/06/2005,01/15/2017,"4,642",Associate Conductor,Replacement,2011,,
Hurwitz,Deborah N.,Jersey Boys,,11/06/2005,01/15/2017,"4,642",Associate Conductor,,2011,,Synth Programmer for all of Jersey Boys worldwide
Blodgette,Kristen,The Woman in White,,11/17/2005,02/19/2006,109,Associate Music Supervisor,,,,
Blodgette,Kristen,The Woman in White,,11/17/2005,02/19/2006,109,Music Director/Conductor,,,,
Twine,Linda,The Color Purple,,12/01/2005,02/24/2008,910,Music Director/Conductor,,,,
Torre,Maggie,A Chorus Line,Revival,10/05/2006,08/17/2008,759,Assistant Conductor,,,,
duChateau,Annbritt,Les Misérables,Revival,11/07/2006,01/06/2008,463,Assistant Conductor,,,,
Anschutz,Sue,Dr.Seuss' How the Grinch Stole Christmas,,11/08/2006,01/07/2007,107,Associate Conductor,,,,
Blodgette,Kristen,Mary Poppins,,11/16/2006,03/03/2013,"2,619",Associate Conductor,,,,
duChateau,Annbritt,Mary Poppins,,11/16/2006,03/03/2013,"2,619",Music Director/Conductor,Replacement,July 2012,Jan.2013,
Campbell,Mary-Mitchell,Company,Revival,11/29/2006,07/01/2007,246,Music Supervisor,,,,
Shankel,Lynne,Company,Revival,11/29/2006,07/01/2007,246,Resident Music Supervisor,,,,
Abramson,Deborah,Spring Awakening,,12/10/2006,01/18/2009,859,Associate Music Director/Associate Conductor,,,,
Grigsby,Kimberly,Spring Awakening,,12/10/2006,01/18/2009,859,Music Supervisor,,,,
Grigsby,Kimberly,Spring Awakening,,12/10/2006,01/18/2009,859,Music Director/Conductor,,,,
Moore,Jodie,Spring Awakening,,12/10/2006,01/18/2009,859,Conductor,Replacement,2008,,
Blodgette,Kristen,Lovemusik,,05/03/2007,06/24/2007,60,Music Supervisor,,,,
Grigsby,Kimberly,Grease,Revival,08/19/2007,01/04/2009,554,Conductor,,,,
Anschutz,Sue,Dr.Seuss' How the Grinch Stole Christmas,Revival,11/09/2007,01/06/2008,96,Associate Conductor,,,,
Humphris,Caroline,Sunday in the Park with George,Revival,02/21/2008,06/29/2008,149,Music Supervisor,,,,
Humphris,Caroline,Sunday in the Park with George,Revival,02/21/2008,06/29/2008,149,Music Director/Conductor,,,,
Rodewald,Heidi,Passing Strange,,02/28/2008,07/20/2008,165,Co-Music Supervisor,,,,
Will,Ethyl,A Catered Affair,,04/17/2008,07/27/2008,116,Associate Conductor,,,,Has served as the Associate Conductor for the Radio City Christmas Spectacular since 2010
Shankel,Lynne,Cry-Baby,,04/24/2008,06/22/2008,68,Music Director/Conductor,,,,
duChateau,Annbritt,Billy Elliot,,11/13/2008,01/08/2012,"1,312",Associate Conductor,Replacement,Jan.2010,Jan.2012,
duChateau,Annbritt,Pal Joey,Revival,12/18/2008,03/01/2009,85,Associate Music Director/Associate Conductor,,,,
Anschutz,Sue,The Story of My Life,,02/19/2009,02/22/2009,5,Associate Conductor,,,,
Torre,Maggie,West Side Story,Revival,03/19/2009,01/02/2011,748,Associate Conductor,,,,
DiGiallonardo,Nadia,Hair,Revival,03/31/2009,06/27/2010,519,Music Director/Conductor,,,,
Moore,Jodie,9 to 5,,04/30/2009,09/06/2009,148,Assistant Conductor,,,,
Anschutz,Sue,Ragtime,Revival,11/15/2009,01/10/2010,65,Assistant Conductor,,,,
Humphris,Caroline,A Little Night Music,Revival,12/13/2009,01/09/2011,425,Music Supervisor,,,,
Campbell,Mary-Mitchell,The Addams Family,,04/08/2010,12/31/2011,722,Music Director/Conductor,,,,
Dean,Carmel,American Idiot,,04/20/2010,04/24/2011,422,Music Director/Conductor,,,,
Moore,Jodie,American Idiot,,04/20/2010,04/24/2011,422,Associate Conductor,Replacement,2011,,
Grigsby,Kimberly,Spider-Man: Turn Off the Dark,,06/14/2011,01/04/2014,"1,066",Music Director/Conductor,,,,
DiGiallonardo,Nadia,Hair,Revival,07/13/2011,09/10/2011,67,Music Supervisor,,,,
Blodgette,Kristen,Evita,Revival,04/05/2012,01/26/2013,337,Music Supervisor,,,,
Blodgette,Kristen,Evita,Revival,04/05/2012,01/26/2013,337,Music Director/Conductor,,,,
Abramson,Deborah,Ghost,,04/23/2012,08/18/2012,136,Assistant Conductor,,,,
Torre,Maggie,Annie,Revival,11/08/2012,01/05/2014,487,Assistant Conductor,,,,
Anschutz,Sue,Elf,,11/09/2012,01/06/2013,74,Associate Conductor,Replacement,2012,End of run,
Kortman Westphal,Cynthia,A Christmas Story: The Musical,,11/19/2012,12/30/2012,51,Associate Music Director/Associate Conductor,,,,
Dean,Carmel,Hands on a Hardbody,,03/21/2013,05/13/2013,28,Music Director/Conductor,,,,
Abramson,Deborah,"Matilda, the Musical",,04/11/2013,01/01/2017,"1,554",Children's Music Director,,,,
Abramson,Deborah,"Matilda, the Musical",,04/11/2013,01/01/2017,"1,554",Co-Assistant Conductor,,,,
Anschutz,Sue,"Matilda, The Musical",,04/11/2013,01/01/2017,"1,554",Assistant Conductor,,2013,2016,
Anschutz,Sue,"Matilda, The Musical",,04/11/2013,01/01/2017,"1,554",Associate Conductor,Replacement,2016,End of run,
DiGiallonardo,Nadia,Pippin,Revival,04/25/2013,01/04/2015,709,Music Supervisor,,,,
Campbell,Mary-Mitchell,Big Fish,,10/06/2013,12/29/2013,98,Music Director/Conductor,,,,
duChateau,Annbritt,Aladdin,,03/20/2014,,,Assistant Music Director/Assistant Conductor,,,,
duChateau,Annbritt,Aladdin,,03/20/2014,,,Co-Associate Music Director/Associate Conductor,Replacement,June 2014,2018,
duChateau,Annbritt,Aladdin,,03/20/2014,,,Co-Associate Music Director/Associate Conductor,Replacement,2023,,
duChateau,Annbritt,Aladdin,,03/20/2014,,,Associate Music Supervisor,Replacement,2019,Present,
Dean,Carmel,If/Then,,03/30/2014,03/22/2015,401,Music Director/Conductor,,,,
Torre,Maggie,Cabaret,Revival,04/24/2014,03/29/2015,388,Associate Conductor,,,,
Campbell,Mary-Mitchell,Finding Neverland,,04/15/2015,08/21/2016,565,Music Director/Conductor,,,,
McBride,Julie,Finding Neverland,,04/15/2015,08/21/2016,565,Assistant Conductor,,,,
McBride,Julie,Amazing Grace,,07/16/2015,10/25/2015,116,Associate Conductor,,,,
Bobbitt Cavett,Wendy,Hamilton,,08/06/2015,,,Alternate Conductor,Replacement,2016,2024,
Ling,Lily,Hamilton,,08/06/2015,,,Alternate Conductor,Replacement,Aug.2022,,
Bergquist,Laura,Allegiance,,11/08/2015,02/14/2016,111,Music Director/Conductor,,,,
Shankel,Lynne,Allegiance,,11/08/2015,02/14/2016,111,Music Supervisor,,,,
Jayes,Catherine,The Color Purple,Revival,12/10/2015,01/08/2017,450,Music Supervisor,,,,
Grigsby,Kimberly,Fiddler on the Roof,Revival,12/20/2015,12/31/2016,431,Conductor,Replacement,2016,End of run,
Benson,Madeline,Waitress,,04/24/2016,01/05/2020,"1,544",Substitute Conductor,,,,Madeline was the youngest woman to ever conduct on Broadway when she made her debut at Waitress.
DiGiallonardo,Nadia,Waitress,,04/24/2016,01/05/2020,"1,544",Music Supervisor/Conductor,,,,
Gatchell,Mary,Waitress,,04/24/2016,01/05/2020,"1,544",Substitute Conductor,,Dec.2018,Dec.2019,
Moore,Jodie,Waitress,,04/24/2016,01/05/2020,"1,544",Substitute Conductor,,2016,,
Campbell,Mary-Mitchell,Tuck Everlasting,,04/26/2016,05/29/2016,39,Co-Music Supervisor,,,,
Campbell,Mary-Mitchell,Tuck Everlasting,,04/26/2016,05/29/2016,39,Music Director/Conductor,,,,
Blodgette,Kristen,Cats,Revival,07/31/2016,12/30/2017,593,Music Supervisor,,,,
Blodgette,Kristen,Cats,Revival,07/31/2016,12/30/2017,593,Music Director/Conductor,,,,
Campbell,Mary-Mitchell,My Love Letter to Broadway,,11/02/2016,11/13/2016,12,Music Director/Conductor,,,,
Zervoulis Bate,Meg,"Natasha, Pierre & the Great Comet of 1812",,11/14/2016,09/03/2017,336,Assistant Conductor,Replacement,2017,,
Blodgette,Kristen,Sunset Boulevard,Revival,02/09/2017,06/25/2017,138,Music Supervisor,,,,
Blodgette,Kristen,Sunset Boulevard,Revival,02/09/2017,06/25/2017,138,Music Director/Conductor,,,,
Bobbitt Cavett,Wendy,Come From Away,,03/12/2017,10/02/2022,"1,669",Music Director/Conductor,Replacement,2017,2018,
Bobbitt Cavett,Wendy,Come From Away,,03/12/2017,10/02/2022,"1,669",Associate Music Supervisor,Replacement,2018,End of run,
